Date;Precipitation;Temperature;Relative humidity
2017-04-17;0.4;19.55833333333333;86.625
2017-04-18;0.0;19.454166666666666;86.95833333333333
2017-04-19;0.0;21.241666666666667;78.66666666666667
2017-04-20;0.0;22.39583333333334;73.16666666666667
2017-04-21;12.2;21.437500000000004;85.54166666666667
2017-04-22;0.0;18.420833333333338;82.04166666666667
2017-04-23;0.0;17.570833333333336;77.08333333333333
2017-04-24;2.2;17.76666666666667;85.75
2017-04-25;7.0;19.158333333333335;90.0
2017-04-26;55.199999999999996;17.625;81.70833333333333
2017-04-27;0.0;14.800000000000002;61.166666666666664
2017-04-28;0.0;14.404166666666663;69.33333333333333
2017-04-29;0.0;15.329166666666664;73.70833333333333
2017-04-30;0.2;16.445833333333336;77.20833333333333
2017-05-01;0.0;16.933333333333337;78.875
2017-05-02;0.0;19.5375;78.45833333333333
2017-05-03;0.0;20.741666666666664;81.20833333333333
2017-05-04;2.6;20.033333333333328;90.20833333333333
2017-05-05;0.2;19.6875;90.54166666666667
2017-05-06;0.0;20.78333333333333;87.45833333333333
2017-05-07;0.0;21.583333333333332;83.45833333333333
2017-05-08;0.0;21.666666666666657;74.95833333333333
2017-05-09;0.6;20.254166666666666;83.875
2017-05-10;0.2;17.054166666666664;79.0
2017-05-11;0.0;14.875;78.91666666666667
2017-05-12;19.8;16.445833333333336;89.04166666666667
2017-05-13;15.600000000000001;17.516666666666666;94.75
2017-05-14;4.8;17.399999999999995;92.70833333333333
2017-05-15;0.0;16.441666666666666;91.25
2017-05-16;0.2;17.29166666666666;83.79166666666667
2017-05-17;0.0;17.795833333333334;83.66666666666667
2017-05-18;0.2;19.1625;83.29166666666667
2017-05-19;0.2;20.070833333333336;80.16666666666667
2017-05-20;0.2;21.175;77.33333333333333
2017-05-21;11.2;17.404166666666665;88.125
2017-05-22;0.2;15.779166666666667;84.54166666666667
2017-05-23;0.6000000000000001;16.704166666666666;86.95833333333333
2017-05-24;0.6;19.525000000000002;84.04166666666667
2017-05-25;23.799999999999994;20.737499999999997;91.41666666666667
2017-05-26;56.800000000000004;20.070833333333333;98.0
2017-05-27;29.599999999999998;16.69166666666667;97.79166666666667
2017-05-28;6.6000000000000005;17.74583333333333;96.16666666666667
2017-05-29;1.2000000000000002;18.391666666666662;91.625
2017-05-30;1.2000000000000002;16.462500000000002;93.41666666666667
2017-05-31;3.4000000000000004;15.6;95.20833333333333
2017-06-01;72.8;15.83333333333333;98.375
2017-06-02;0.0;16.308333333333334;85.0
2017-06-03;0.0;15.333333333333334;81.25
2017-06-04;6.199999999999999;16.4875;96.29166666666667
2017-06-05;0.4;16.65833333333333;92.875
2017-06-06;1.8;16.004166666666666;95.33333333333333
2017-06-07;28.4;16.620833333333334;95.5
2017-06-08;65.40000000000002;17.479166666666664;94.66666666666667
2017-06-09;2.8000000000000003;13.024999999999999;89.33333333333333
2017-06-10;0.0;12.945833333333333;72.08333333333333
2017-06-11;0.0;13.517391304347825;78.34782608695652
2017-06-12;0.0;13.341666666666667;89.29166666666667
2017-06-13;0.0;14.5375;89.91666666666667
2017-06-14;0.2;13.699999999999998;95.0
2017-06-15;0.0;16.89583333333334;86.5
2017-06-16;0.0;18.916666666666668;81.375
2017-06-17;0.2;20.954166666666662;72.70833333333333
2017-06-18;11.6;17.53333333333333;83.75
2017-06-19;1.0;10.204166666666666;81.20833333333333
2017-06-20;0.0;10.21176470588235;78.76470588235294
2017-06-21;0.0;12.954166666666667;77.45833333333333
2017-06-22;0.0;16.629166666666663;80.75
2017-06-23;0.0;18.12916666666667;81.75
2017-06-24;0.0;19.241666666666664;77.83333333333333
2017-06-25;0.0;19.083333333333336;78.41666666666667
2017-06-26;0.0;17.554166666666667;75.83333333333333
2017-06-27;0.0;18.525;74.45833333333333
