iter	Passed	Remaining
889	1959	242
890	1961	239
891	1963	237
892	1971	236
893	1973	233
894	1975	231
895	1977	229
896	1979	227
897	1981	225
898	1983	222
899	1985	220
900	1987	218
901	1990	216
902	1992	214
903	1994	211
904	1996	209
905	1999	207
906	2001	205
907	2003	203
908	2005	200
909	2008	198
910	2010	196
911	2012	194
912	2014	191
913	2015	189
914	2017	187
915	2019	185
916	2021	183
917	2023	180
918	2025	178
919	2028	176
920	2030	174
921	2032	171
922	2034	169
923	2036	167
924	2039	165
925	2041	163
926	2043	160
927	2045	158
928	2047	156
929	2049	154
930	2052	152
931	2054	149
932	2056	147
933	2058	145
934	2060	143
935	2062	141
936	2064	138
937	2067	136
938	2069	134
939	2071	132
940	2073	130
941	2075	127
942	2078	125
943	2080	123
944	2082	121
945	2085	119
946	2087	116
947	2089	114
948	2091	112
949	2093	110
950	2095	107
951	2097	105
952	2100	103
953	2102	101
954	2105	99
955	2107	96
956	2109	94
957	2111	92
958	2113	90
959	2115	88
960	2118	85
961	2120	83
962	2122	81
963	2125	79
964	2127	77
965	2129	74
966	2131	72
967	2133	70
968	2135	68
969	2137	66
970	2139	63
971	2141	61
972	2143	59
973	2146	57
974	2148	55
975	2150	52
976	2152	50
977	2154	48
978	2156	46
979	2159	44
980	2161	41
981	2163	39
982	2165	37
983	2168	35
984	2169	33
985	2171	30
986	2174	28
987	2176	26
988	2178	24
989	2180	22
990	2182	19
991	2184	17
992	2186	15
993	2189	13
994	2191	11
995	2193	8
996	2195	6
997	2197	4
998	2200	2
999	2202	0
