,nome_distrito,ano,mes_inicial,mes,dengue_diagnosis_previsto,precipitacao (mm)-1,temperatura (°C)-1,umidade ar (%)-1,t-1,t-2,t-3,densidade_demografica
88,CRUZEIRO,2022,1,6,44,153.8,15.64,84.43,24.0,72.0,32.0,9590.62
89,EIXO BALTAZAR,2022,1,6,37,153.8,15.64,84.43,94.0,145.0,34.0,8375.15
90,EXTREMO SUL,2022,1,6,15,153.8,15.64,84.43,20.0,42.0,14.0,300.6
91,GLORIA,2022,1,6,8,153.8,15.64,84.43,42.0,118.0,56.0,2324.68
92,HUMAITA NAVEGANTES,2022,1,6,30,153.8,15.64,84.43,32.0,63.0,12.0,2891.4
93,ILHAS,2022,1,6,3,153.8,15.64,84.43,5.0,4.0,3.0,188.46
94,LESTE,2022,1,6,119,153.8,15.64,84.43,332.0,1200.0,725.0,7417.85
95,LOMBA DO PINHEIRO,2022,1,6,29,153.8,15.64,84.43,41.0,79.0,17.0,1230.31
96,NORDESTE,2022,1,6,23,153.8,15.64,84.43,45.0,76.0,19.0,5491.74
97,NOROESTE,2022,1,6,19,153.8,15.64,84.43,75.0,201.0,77.0,6310.17
98,NORTE,2022,1,6,51,153.8,15.64,84.43,82.0,130.0,28.0,3176.84
99,PARTENON,2022,1,6,70,153.8,15.64,84.43,125.0,386.0,145.0,8162.18
100,RESTINGA,2022,1,6,10,153.8,15.64,84.43,16.0,56.0,18.0,1574.92
101,SUL,2022,1,6,23,153.8,15.64,84.43,56.0,221.0,85.0,2802.29
102,CENTRO,2022,1,7,2,99.0,13.1,83.77,28.0,161.0,345.0,10646.12
103,CENTRO SUL,2022,1,7,17,99.0,13.1,83.77,26.0,82.0,248.0,3847.64
104,CRISTAL,2022,1,7,3,99.0,13.1,83.77,5.0,46.0,96.0,7056.38
105,CRUZEIRO,2022,1,7,5,99.0,13.1,83.77,8.0,24.0,72.0,9590.62
106,EIXO BALTAZAR,2022,1,7,0,99.0,13.1,83.77,12.0,94.0,145.0,8375.15
107,EXTREMO SUL,2022,1,7,10,99.0,13.1,83.77,9.0,20.0,42.0,300.6
108,GLORIA,2022,1,7,2,99.0,13.1,83.77,8.0,42.0,118.0,2324.68
109,HUMAITA NAVEGANTES,2022,1,7,4,99.0,13.1,83.77,4.0,32.0,63.0,2891.4
110,ILHAS,2022,1,7,1,99.0,13.1,83.77,1.0,5.0,4.0,188.46
111,LESTE,2022,1,7,29,99.0,13.1,83.77,55.0,332.0,1200.0,7417.85
112,LOMBA DO PINHEIRO,2022,1,7,1,99.0,13.1,83.77,7.0,41.0,79.0,1230.31
113,NORDESTE,2022,1,7,11,99.0,13.1,83.77,16.0,45.0,76.0,5491.74
114,NOROESTE,2022,1,7,16,99.0,13.1,83.77,22.0,75.0,201.0,6310.17
115,NORTE,2022,1,7,6,99.0,13.1,83.77,17.0,82.0,130.0,3176.84
116,PARTENON,2022,1,7,6,99.0,13.1,83.77,27.0,125.0,386.0,8162.18
117,RESTINGA,2022,1,7,7,99.0,13.1,83.77,8.0,16.0,56.0,1574.92
118,SUL,2022,1,7,8,99.0,13.1,83.77,18.0,56.0,221.0,2802.29
119,CENTRO,2022,1,8,0,150.2,16.35,83.82,12.0,28.0,161.0,10646.12
120,CENTRO SUL,2022,1,8,5,150.2,16.35,83.82,9.0,26.0,82.0,3847.64
121,CRISTAL,2022,1,8,3,150.2,16.35,83.82,5.0,5.0,46.0,7056.38
122,CRUZEIRO,2022,1,8,4,150.2,16.35,83.82,5.0,8.0,24.0,9590.62
123,EIXO BALTAZAR,2022,1,8,3,150.2,16.35,83.82,10.0,12.0,94.0,8375.15
124,EXTREMO SUL,2022,1,8,2,150.2,16.35,83.82,2.0,9.0,20.0,300.6
125,GLORIA,2022,1,8,7,150.2,16.35,83.82,9.0,8.0,42.0,2324.68
126,HUMAITA NAVEGANTES,2022,1,8,3,150.2,16.35,83.82,4.0,4.0,32.0,2891.4
127,ILHAS,2022,1,8,0,150.2,16.35,83.82,1.0,1.0,5.0,188.46
128,LESTE,2022,1,8,10,150.2,16.35,83.82,39.0,55.0,332.0,7417.85
129,LOMBA DO PINHEIRO,2022,1,8,3,150.2,16.35,83.82,10.0,7.0,41.0,1230.31
130,NORDESTE,2022,1,8,3,150.2,16.35,83.82,12.0,16.0,45.0,5491.74
131,NOROESTE,2022,1,8,2,150.2,16.35,83.82,11.0,22.0,75.0,6310.17
132,NORTE,2022,1,8,3,150.2,16.35,83.82,16.0,17.0,82.0,3176.84
133,PARTENON,2022,1,8,13,150.2,16.35,83.82,44.0,27.0,125.0,8162.18
134,RESTINGA,2022,1,8,3,150.2,16.35,83.82,4.0,8.0,16.0,1574.92
135,SUL,2022,1,8,2,150.2,16.35,83.82,10.0,18.0,56.0,2802.29
136,CENTRO,2022,1,9,5,103.6,15.15,78.73,6.0,12.0,28.0,10646.12
137,CENTRO SUL,2022,1,9,6,103.6,15.15,78.73,6.0,9.0,26.0,3847.64
138,CRISTAL,2022,1,9,3,103.6,15.15,78.73,2.0,5.0,5.0,7056.38
139,CRUZEIRO,2022,1,9,4,103.6,15.15,78.73,4.0,5.0,8.0,9590.62
140,EIXO BALTAZAR,2022,1,9,0,103.6,15.15,78.73,0.0,10.0,12.0,8375.15
141,EXTREMO SUL,2022,1,9,2,103.6,15.15,78.73,0.0,2.0,9.0,300.6
142,GLORIA,2022,1,9,6,103.6,15.15,78.73,6.0,9.0,8.0,2324.68
143,HUMAITA NAVEGANTES,2022,1,9,4,103.6,15.15,78.73,3.0,4.0,4.0,2891.4
144,ILHAS,2022,1,9,1,103.6,15.15,78.73,0.0,1.0,1.0,188.46
145,LESTE,2022,1,9,17,103.6,15.15,78.73,9.0,39.0,55.0,7417.85
146,LOMBA DO PINHEIRO,2022,1,9,1,103.6,15.15,78.73,2.0,10.0,7.0,1230.31
147,NORDESTE,2022,1,9,0,103.6,15.15,78.73,1.0,12.0,16.0,5491.74
148,NOROESTE,2022,1,9,3,103.6,15.15,78.73,4.0,11.0,22.0,6310.17
149,NORTE,2022,1,9,2,103.6,15.15,78.73,2.0,16.0,17.0,3176.84
150,PARTENON,2022,1,9,5,103.6,15.15,78.73,7.0,44.0,27.0,8162.18
151,RESTINGA,2022,1,9,2,103.6,15.15,78.73,1.0,4.0,8.0,1574.92
152,SUL,2022,1,9,7,103.6,15.15,78.73,6.0,10.0,18.0,2802.29
153,CENTRO,2022,1,10,3,73.2,16.52,75.62,4.0,6.0,12.0,10646.12
154,CENTRO SUL,2022,1,10,1,73.2,16.52,75.62,2.0,6.0,9.0,3847.64
155,CRISTAL,2022,1,10,0,73.2,16.52,75.62,0.0,2.0,5.0,7056.38
156,CRUZEIRO,2022,1,10,2,73.2,16.52,75.62,3.0,4.0,5.0,9590.62
157,EIXO BALTAZAR,2022,1,10,0,73.2,16.52,75.62,0.0,0.0,10.0,8375.15
158,EXTREMO SUL,2022,1,10,0,73.2,16.52,75.62,1.0,0.0,2.0,300.6
159,GLORIA,2022,1,10,2,73.2,16.52,75.62,4.0,6.0,9.0,2324.68
160,HUMAITA NAVEGANTES,2022,1,10,0,73.2,16.52,75.62,1.0,3.0,4.0,2891.4
161,ILHAS,2022,1,10,0,73.2,16.52,75.62,1.0,0.0,1.0,188.46
162,LESTE,2022,1,10,2,73.2,16.52,75.62,6.0,9.0,39.0,7417.85
163,LOMBA DO PINHEIRO,2022,1,10,0,73.2,16.52,75.62,0.0,2.0,10.0,1230.31
164,NORDESTE,2022,1,10,0,73.2,16.52,75.62,0.0,1.0,12.0,5491.74
165,NOROESTE,2022,1,10,0,73.2,16.52,75.62,1.0,4.0,11.0,6310.17
166,NORTE,2022,1,10,1,73.2,16.52,75.62,3.0,2.0,16.0,3176.84
167,PARTENON,2022,1,10,0,73.2,16.52,75.62,1.0,7.0,44.0,8162.18
168,RESTINGA,2022,1,10,0,73.2,16.52,75.62,0.0,1.0,4.0,1574.92
169,SUL,2022,1,10,2,73.2,16.52,75.62,4.0,6.0,10.0,2802.29
170,CENTRO,2022,1,11,3,96.2,19.02,75.58,5.0,4.0,6.0,10646.12
171,CENTRO SUL,2022,1,11,2,96.2,19.02,75.58,2.0,2.0,6.0,3847.64
172,CRISTAL,2022,1,11,0,96.2,19.02,75.58,0.0,0.0,2.0,7056.38
173,CRUZEIRO,2022,1,11,1,96.2,19.02,75.58,1.0,3.0,4.0,9590.62
174,EIXO BALTAZAR,2022,1,11,1,96.2,19.02,75.58,2.0,0.0,0.0,8375.15
175,EXTREMO SUL,2022,1,11,2,96.2,19.02,75.58,2.0,1.0,0.0,300.6
176,GLORIA,2022,1,11,1,96.2,19.02,75.58,1.0,4.0,6.0,2324.68
177,HUMAITA NAVEGANTES,2022,1,11,0,96.2,19.02,75.58,0.0,1.0,3.0,2891.4
178,ILHAS,2022,1,11,0,96.2,19.02,75.58,0.0,1.0,0.0,188.46
179,LESTE,2022,1,11,1,96.2,19.02,75.58,3.0,6.0,9.0,7417.85
180,LOMBA DO PINHEIRO,2022,1,11,1,96.2,19.02,75.58,1.0,0.0,2.0,1230.31
181,NORDESTE,2022,1,11,0,96.2,19.02,75.58,0.0,0.0,1.0,5491.74
182,NOROESTE,2022,1,11,2,96.2,19.02,75.58,3.0,1.0,4.0,6310.17
183,NORTE,2022,1,11,1,96.2,19.02,75.58,1.0,3.0,2.0,3176.84
184,PARTENON,2022,1,11,1,96.2,19.02,75.58,3.0,1.0,7.0,8162.18
185,RESTINGA,2022,1,11,2,96.2,19.02,75.58,2.0,0.0,1.0,1574.92
186,SUL,2022,1,11,4,96.2,19.02,75.58,5.0,4.0,6.0,2802.29
187,CENTRO,2022,1,12,0,52.2,20.99,70.63,4.0,5.0,4.0,10646.12
188,CENTRO SUL,2022,1,12,3,52.2,20.99,70.63,6.0,2.0,2.0,3847.64
189,CRISTAL,2022,1,12,0,52.2,20.99,70.63,1.0,0.0,0.0,7056.38
190,CRUZEIRO,2022,1,12,0,52.2,20.99,70.63,0.0,1.0,3.0,9590.62
191,EIXO BALTAZAR,2022,1,12,1,52.2,20.99,70.63,2.0,2.0,0.0,8375.15
192,EXTREMO SUL,2022,1,12,2,52.2,20.99,70.63,6.0,2.0,1.0,300.6
193,GLORIA,2022,1,12,2,52.2,20.99,70.63,4.0,1.0,4.0,2324.68
194,HUMAITA NAVEGANTES,2022,1,12,2,52.2,20.99,70.63,2.0,0.0,1.0,2891.4
195,ILHAS,2022,1,12,0,52.2,20.99,70.63,0.0,0.0,1.0,188.46
196,LESTE,2022,1,12,1,52.2,20.99,70.63,5.0,3.0,6.0,7417.85
197,LOMBA DO PINHEIRO,2022,1,12,3,52.2,20.99,70.63,5.0,1.0,0.0,1230.31
198,NORDESTE,2022,1,12,1,52.2,20.99,70.63,3.0,0.0,0.0,5491.74
199,NOROESTE,2022,1,12,2,52.2,20.99,70.63,3.0,3.0,1.0,6310.17
200,NORTE,2022,1,12,3,52.2,20.99,70.63,4.0,1.0,3.0,3176.84
201,PARTENON,2022,1,12,9,52.2,20.99,70.63,8.0,3.0,1.0,8162.18
202,RESTINGA,2022,1,12,1,52.2,20.99,70.63,0.0,2.0,0.0,1574.92
203,SUL,2022,1,12,3,52.2,20.99,70.63,4.0,5.0,4.0,2802.29
