,precipitacao (mm)-1,temperatura (°C)-1,umidade ar (%)-1,t-1,t-2,t-3,densidade_demografica
8671,21.0,1.0,71.0,2.0,1.0,11.0,74.93689578611406
8672,22.0,37.0,68.0,0.0,2.0,1.0,74.93689578611406
8673,23.0,47.0,70.0,0.0,0.0,2.0,74.93689578611406
8674,24.0,43.0,70.0,0.0,0.0,0.0,74.93689578611406
8675,25.0,207.0,71.0,1.0,0.0,0.0,74.93689578611406
8676,28.0,109.0,69.0,5.0,1.0,0.0,151.71966350456415
8677,27.0,243.0,74.0,4.0,5.0,1.0,151.71966350456415
8678,28.0,230.0,70.0,26.0,4.0,5.0,151.71966350456415
8679,27.0,148.0,74.0,56.0,26.0,4.0,151.71966350456415
8680,26.0,18.0,70.0,83.0,56.0,26.0,151.71966350456415
8681,22.0,33.0,76.0,34.0,83.0,56.0,151.71966350456415
8682,20.0,61.0,78.0,18.0,34.0,83.0,151.71966350456415
8683,21.0,1.0,71.0,9.0,18.0,34.0,151.71966350456415
8684,22.0,37.0,68.0,3.0,9.0,18.0,151.71966350456415
8685,23.0,47.0,70.0,1.0,3.0,9.0,151.71966350456415
8686,24.0,43.0,70.0,0.0,1.0,3.0,151.71966350456415
8687,25.0,207.0,71.0,4.0,0.0,1.0,151.71966350456415
8688,28.0,109.0,69.0,37.0,10.0,4.0,71.8301836172287
8689,27.0,243.0,74.0,39.0,37.0,10.0,71.8301836172287
8690,28.0,230.0,70.0,56.0,39.0,37.0,71.8301836172287
8691,27.0,148.0,74.0,242.0,56.0,39.0,71.8301836172287
8692,26.0,18.0,70.0,655.0,242.0,56.0,71.8301836172287
8693,22.0,33.0,76.0,213.0,655.0,242.0,71.8301836172287
8694,20.0,61.0,78.0,30.0,213.0,655.0,71.8301836172287
8695,21.0,1.0,71.0,9.0,30.0,213.0,71.8301836172287
8696,22.0,37.0,68.0,0.0,9.0,30.0,71.8301836172287
8697,23.0,47.0,70.0,1.0,0.0,9.0,71.8301836172287
8698,24.0,43.0,70.0,2.0,1.0,0.0,71.8301836172287
8699,25.0,207.0,71.0,6.0,2.0,1.0,71.8301836172287
8700,28.0,109.0,69.0,1.0,1.0,0.0,121.96859174657902
8701,27.0,243.0,74.0,0.0,1.0,1.0,121.96859174657902
8702,28.0,230.0,70.0,3.0,0.0,1.0,121.96859174657902
8703,27.0,148.0,74.0,9.0,3.0,0.0,121.96859174657902
8704,26.0,18.0,70.0,13.0,9.0,3.0,121.96859174657902
8705,22.0,33.0,76.0,9.0,13.0,9.0,121.96859174657902
8706,20.0,61.0,78.0,3.0,9.0,13.0,121.96859174657902
8707,21.0,1.0,71.0,1.0,3.0,9.0,121.96859174657902
8708,22.0,37.0,68.0,0.0,1.0,3.0,121.96859174657902
8709,23.0,47.0,70.0,0.0,0.0,1.0,121.96859174657902
8710,24.0,43.0,70.0,0.0,0.0,0.0,121.96859174657902
8711,25.0,207.0,71.0,0.0,0.0,0.0,121.96859174657902
8712,28.0,109.0,69.0,4.0,4.0,0.0,143.85700788889412
8713,27.0,243.0,74.0,5.0,4.0,4.0,143.85700788889412
8714,28.0,230.0,70.0,7.0,5.0,4.0,143.85700788889412
8715,27.0,148.0,74.0,11.0,7.0,5.0,143.85700788889412
8716,26.0,18.0,70.0,10.0,11.0,7.0,143.85700788889412
8717,22.0,33.0,76.0,4.0,10.0,11.0,143.85700788889412
8718,20.0,61.0,78.0,3.0,4.0,10.0,143.85700788889412
8719,21.0,1.0,71.0,1.0,3.0,4.0,143.85700788889412
8720,22.0,37.0,68.0,0.0,1.0,3.0,143.85700788889412
8721,23.0,47.0,70.0,0.0,0.0,1.0,143.85700788889412
8722,24.0,43.0,70.0,0.0,0.0,0.0,143.85700788889412
8723,25.0,207.0,71.0,0.0,0.0,0.0,143.85700788889412
8724,28.0,109.0,69.0,6.0,2.0,2.0,136.03828272251306
8725,27.0,243.0,74.0,11.0,6.0,2.0,136.03828272251306
8726,28.0,230.0,70.0,11.0,11.0,6.0,136.03828272251306
8727,27.0,148.0,74.0,27.0,11.0,11.0,136.03828272251306
8728,26.0,18.0,70.0,36.0,27.0,11.0,136.03828272251306
8729,22.0,33.0,76.0,14.0,36.0,27.0,136.03828272251306
8730,20.0,61.0,78.0,6.0,14.0,36.0,136.03828272251306
8731,21.0,1.0,71.0,0.0,6.0,14.0,136.03828272251306
8732,22.0,37.0,68.0,1.0,0.0,6.0,136.03828272251306
8733,23.0,47.0,70.0,2.0,1.0,0.0,136.03828272251306
8734,24.0,43.0,70.0,0.0,2.0,1.0,136.03828272251306
8735,25.0,207.0,71.0,1.0,0.0,2.0,136.03828272251306
8736,28.0,109.0,69.0,1.0,1.0,2.0,100.23228880756328
8737,27.0,243.0,74.0,2.0,1.0,1.0,100.23228880756328
8738,28.0,230.0,70.0,4.0,2.0,1.0,100.23228880756328
8739,27.0,148.0,74.0,10.0,4.0,2.0,100.23228880756328
8740,26.0,18.0,70.0,7.0,10.0,4.0,100.23228880756328
8741,22.0,33.0,76.0,5.0,7.0,10.0,100.23228880756328
8742,20.0,61.0,78.0,1.0,5.0,7.0,100.23228880756328
8743,21.0,1.0,71.0,0.0,1.0,5.0,100.23228880756328
8744,22.0,37.0,68.0,0.0,0.0,1.0,100.23228880756328
8745,23.0,47.0,70.0,0.0,0.0,0.0,100.23228880756328
8746,24.0,43.0,70.0,0.0,0.0,0.0,100.23228880756328
8747,25.0,207.0,71.0,0.0,0.0,0.0,100.23228880756328
8748,28.0,109.0,69.0,16.0,6.0,7.0,159.044348217688
8749,27.0,243.0,74.0,35.0,16.0,6.0,159.044348217688
8750,28.0,230.0,70.0,31.0,35.0,16.0,159.044348217688
8751,27.0,148.0,74.0,84.0,31.0,35.0,159.044348217688
8752,26.0,18.0,70.0,66.0,84.0,31.0,159.044348217688
8753,22.0,33.0,76.0,23.0,66.0,84.0,159.044348217688
8754,20.0,61.0,78.0,14.0,23.0,66.0,159.044348217688
8755,21.0,1.0,71.0,12.0,14.0,23.0,159.044348217688
8756,22.0,37.0,68.0,7.0,12.0,14.0,159.044348217688
8757,23.0,47.0,70.0,3.0,7.0,12.0,159.044348217688
8758,24.0,43.0,70.0,2.0,3.0,7.0,159.044348217688
8759,25.0,207.0,71.0,2.0,2.0,3.0,159.044348217688
8760,28.0,109.0,69.0,2.0,1.0,2.0,495.4399366802352
8761,27.0,243.0,74.0,0.0,2.0,1.0,495.4399366802352
8762,28.0,230.0,70.0,2.0,0.0,2.0,495.4399366802352
8763,27.0,148.0,74.0,46.0,2.0,0.0,495.4399366802352
8764,26.0,18.0,70.0,66.0,46.0,2.0,495.4399366802352
8765,22.0,33.0,76.0,14.0,66.0,46.0,495.4399366802352
8766,20.0,61.0,78.0,1.0,14.0,66.0,495.4399366802352
8767,21.0,1.0,71.0,1.0,1.0,14.0,495.4399366802352
8768,22.0,37.0,68.0,0.0,1.0,1.0,495.4399366802352
8769,23.0,47.0,70.0,0.0,0.0,1.0,495.4399366802352
8770,24.0,43.0,70.0,1.0,0.0,0.0,495.4399366802352
8771,25.0,207.0,71.0,0.0,1.0,0.0,495.4399366802352
8772,28.0,109.0,69.0,9.0,7.0,4.0,82.45353784103467
8773,27.0,243.0,74.0,8.0,9.0,7.0,82.45353784103467
8774,28.0,230.0,70.0,15.0,8.0,9.0,82.45353784103467
8775,27.0,148.0,74.0,40.0,15.0,8.0,82.45353784103467
8776,26.0,18.0,70.0,76.0,40.0,15.0,82.45353784103467
8777,22.0,33.0,76.0,17.0,76.0,40.0,82.45353784103467
8778,20.0,61.0,78.0,9.0,17.0,76.0,82.45353784103467
8779,21.0,1.0,71.0,2.0,9.0,17.0,82.45353784103467
8780,22.0,37.0,68.0,4.0,2.0,9.0,82.45353784103467
8781,23.0,47.0,70.0,0.0,4.0,2.0,82.45353784103467
8782,24.0,43.0,70.0,1.0,0.0,4.0,82.45353784103467
8783,25.0,207.0,71.0,0.0,1.0,0.0,82.45353784103467
8784,28.0,109.0,69.0,5.0,3.0,0.0,51.77515986345498
8785,27.0,243.0,74.0,2.0,5.0,3.0,51.77515986345498
8786,28.0,230.0,70.0,12.0,2.0,5.0,51.77515986345498
8787,27.0,148.0,74.0,20.0,12.0,2.0,51.77515986345498
8788,26.0,18.0,70.0,40.0,20.0,12.0,51.77515986345498
8789,22.0,33.0,76.0,35.0,40.0,20.0,51.77515986345498
8790,20.0,61.0,78.0,10.0,35.0,40.0,51.77515986345498
8791,21.0,1.0,71.0,4.0,10.0,35.0,51.77515986345498
8792,22.0,37.0,68.0,0.0,4.0,10.0,51.77515986345498
8793,23.0,47.0,70.0,0.0,0.0,4.0,51.77515986345498
8794,24.0,43.0,70.0,1.0,0.0,0.0,51.77515986345498
8795,25.0,207.0,71.0,2.0,1.0,0.0,51.77515986345498
8796,28.0,109.0,69.0,23.0,11.0,4.0,64.83687886637567
8797,27.0,243.0,74.0,35.0,23.0,11.0,64.83687886637567
8798,28.0,230.0,70.0,69.0,35.0,23.0,64.83687886637567
8799,27.0,148.0,74.0,146.0,69.0,35.0,64.83687886637567
8800,26.0,18.0,70.0,454.0,146.0,69.0,64.83687886637567
8801,22.0,33.0,76.0,273.0,454.0,146.0,64.83687886637567
8802,20.0,61.0,78.0,64.0,273.0,454.0,64.83687886637567
8803,21.0,1.0,71.0,9.0,64.0,273.0,64.83687886637567
8804,22.0,37.0,68.0,1.0,9.0,64.0,64.83687886637567
8805,23.0,47.0,70.0,0.0,1.0,9.0,64.83687886637567
8806,24.0,43.0,70.0,2.0,0.0,1.0,64.83687886637567
8807,25.0,207.0,71.0,3.0,2.0,0.0,64.83687886637567
8808,28.0,109.0,69.0,20.0,5.0,0.0,49.354838709677416
8809,27.0,243.0,74.0,12.0,20.0,5.0,49.354838709677416
8810,28.0,230.0,70.0,17.0,12.0,20.0,49.354838709677416
8811,27.0,148.0,74.0,21.0,17.0,12.0,49.354838709677416
8812,26.0,18.0,70.0,14.0,21.0,17.0,49.354838709677416
8813,22.0,33.0,76.0,15.0,14.0,21.0,49.354838709677416
8814,20.0,61.0,78.0,13.0,15.0,14.0,49.354838709677416
8815,21.0,1.0,71.0,3.0,13.0,15.0,49.354838709677416
8816,22.0,37.0,68.0,0.0,3.0,13.0,49.354838709677416
8817,23.0,47.0,70.0,2.0,0.0,3.0,49.354838709677416
8818,24.0,43.0,70.0,2.0,2.0,0.0,49.354838709677416
8819,25.0,207.0,71.0,0.0,2.0,2.0,49.354838709677416
8820,28.0,109.0,69.0,5.0,6.0,3.0,67.08858632112236
8821,27.0,243.0,74.0,10.0,5.0,6.0,67.08858632112236
8822,28.0,230.0,70.0,16.0,10.0,5.0,67.08858632112236
8823,27.0,148.0,74.0,37.0,16.0,10.0,67.08858632112236
8824,26.0,18.0,70.0,40.0,37.0,16.0,67.08858632112236
8825,22.0,33.0,76.0,12.0,40.0,37.0,67.08858632112236
8826,20.0,61.0,78.0,1.0,12.0,40.0,67.08858632112236
8827,21.0,1.0,71.0,3.0,1.0,12.0,67.08858632112236
8828,22.0,37.0,68.0,3.0,3.0,1.0,67.08858632112236
8829,23.0,47.0,70.0,0.0,3.0,3.0,67.08858632112236
8830,24.0,43.0,70.0,0.0,0.0,3.0,67.08858632112236
8831,25.0,207.0,71.0,2.0,0.0,0.0,67.08858632112236
8832,28.0,109.0,69.0,0.0,0.0,0.0,140.35866851595006
8833,27.0,243.0,74.0,2.0,0.0,0.0,140.35866851595006
8834,28.0,230.0,70.0,11.0,2.0,0.0,140.35866851595006
8835,27.0,148.0,74.0,17.0,11.0,2.0,140.35866851595006
8836,26.0,18.0,70.0,17.0,17.0,11.0,140.35866851595006
8837,22.0,33.0,76.0,0.0,17.0,17.0,140.35866851595006
8838,20.0,61.0,78.0,1.0,0.0,17.0,140.35866851595006
8839,21.0,1.0,71.0,0.0,1.0,0.0,140.35866851595006
8840,22.0,37.0,68.0,0.0,0.0,1.0,140.35866851595006
8841,23.0,47.0,70.0,0.0,0.0,0.0,140.35866851595006
8842,24.0,43.0,70.0,0.0,0.0,0.0,140.35866851595006
8843,25.0,207.0,71.0,0.0,0.0,0.0,140.35866851595006
8844,28.0,109.0,69.0,9.0,4.0,2.0,70.64005747126437
8845,27.0,243.0,74.0,14.0,9.0,4.0,70.64005747126437
8846,28.0,230.0,70.0,13.0,14.0,9.0,70.64005747126437
8847,27.0,148.0,74.0,33.0,13.0,14.0,70.64005747126437
8848,26.0,18.0,70.0,59.0,33.0,13.0,70.64005747126437
8849,22.0,33.0,76.0,19.0,59.0,33.0,70.64005747126437
8850,20.0,61.0,78.0,5.0,19.0,59.0,70.64005747126437
8851,21.0,1.0,71.0,0.0,5.0,19.0,70.64005747126437
8852,22.0,37.0,68.0,0.0,0.0,5.0,70.64005747126437
8853,23.0,47.0,70.0,0.0,0.0,0.0,70.64005747126437
8854,24.0,43.0,70.0,0.0,0.0,0.0,70.64005747126437
8855,25.0,207.0,71.0,0.0,0.0,0.0,70.64005747126437
8856,28.0,109.0,69.0,42.0,3.0,0.0,80.34536822497842
8857,27.0,243.0,74.0,54.0,42.0,3.0,80.34536822497842
8858,28.0,230.0,70.0,56.0,54.0,42.0,80.34536822497842
8859,27.0,148.0,74.0,77.0,56.0,54.0,80.34536822497842
8860,26.0,18.0,70.0,124.0,77.0,56.0,80.34536822497842
8861,22.0,33.0,76.0,63.0,124.0,77.0,80.34536822497842
8862,20.0,61.0,78.0,14.0,63.0,124.0,80.34536822497842
8863,21.0,1.0,71.0,2.0,14.0,63.0,80.34536822497842
8864,22.0,37.0,68.0,0.0,2.0,14.0,80.34536822497842
8865,23.0,47.0,70.0,0.0,0.0,2.0,80.34536822497842
8866,24.0,43.0,70.0,1.0,0.0,0.0,80.34536822497842
8867,25.0,207.0,71.0,1.0,1.0,0.0,80.34536822497842
8868,28.0,109.0,69.0,16.0,8.0,5.0,169.08420263074234
8869,27.0,243.0,74.0,20.0,16.0,8.0,169.08420263074234
8870,28.0,230.0,70.0,26.0,20.0,16.0,169.08420263074234
8871,27.0,148.0,74.0,20.0,26.0,20.0,169.08420263074234
8872,26.0,18.0,70.0,44.0,20.0,26.0,169.08420263074234
8873,22.0,33.0,76.0,13.0,44.0,20.0,169.08420263074234
8874,20.0,61.0,78.0,10.0,13.0,44.0,169.08420263074234
8875,21.0,1.0,71.0,6.0,10.0,13.0,169.08420263074234
8876,22.0,37.0,68.0,1.0,6.0,10.0,169.08420263074234
8877,23.0,47.0,70.0,0.0,1.0,6.0,169.08420263074234
8878,24.0,43.0,70.0,4.0,0.0,1.0,169.08420263074234
8879,25.0,207.0,71.0,0.0,4.0,0.0,169.08420263074234
8880,28.0,109.0,69.0,2.0,0.0,0.0,252.8855816709461
8881,27.0,243.0,74.0,1.0,2.0,0.0,252.8855816709461
8882,28.0,230.0,70.0,8.0,1.0,2.0,252.8855816709461
8883,27.0,148.0,74.0,9.0,8.0,1.0,252.8855816709461
8884,26.0,18.0,70.0,9.0,9.0,8.0,252.8855816709461
8885,22.0,33.0,76.0,5.0,9.0,9.0,252.8855816709461
8886,20.0,61.0,78.0,1.0,5.0,9.0,252.8855816709461
8887,21.0,1.0,71.0,0.0,1.0,5.0,252.8855816709461
8888,22.0,37.0,68.0,0.0,0.0,1.0,252.8855816709461
8889,23.0,47.0,70.0,0.0,0.0,0.0,252.8855816709461
8890,24.0,43.0,70.0,0.0,0.0,0.0,252.8855816709461
8891,25.0,207.0,71.0,0.0,0.0,0.0,252.8855816709461
8892,28.0,109.0,69.0,3.0,3.0,2.0,134.82325608011445
8893,27.0,243.0,74.0,5.0,3.0,3.0,134.82325608011445
8894,28.0,230.0,70.0,14.0,5.0,3.0,134.82325608011445
8895,27.0,148.0,74.0,43.0,14.0,5.0,134.82325608011445
8896,26.0,18.0,70.0,43.0,43.0,14.0,134.82325608011445
8897,22.0,33.0,76.0,6.0,43.0,43.0,134.82325608011445
8898,20.0,61.0,78.0,5.0,6.0,43.0,134.82325608011445
8899,21.0,1.0,71.0,2.0,5.0,6.0,134.82325608011445
8900,22.0,37.0,68.0,0.0,2.0,5.0,134.82325608011445
8901,23.0,47.0,70.0,0.0,0.0,2.0,134.82325608011445
8902,24.0,43.0,70.0,0.0,0.0,0.0,134.82325608011445
8903,25.0,207.0,71.0,1.0,0.0,0.0,134.82325608011445
8904,28.0,109.0,69.0,2.0,5.0,9.0,142.6866857779901
8905,27.0,243.0,74.0,8.0,2.0,5.0,142.6866857779901
8906,28.0,230.0,70.0,13.0,8.0,2.0,142.6866857779901
8907,27.0,148.0,74.0,21.0,13.0,8.0,142.6866857779901
8908,26.0,18.0,70.0,9.0,21.0,13.0,142.6866857779901
8909,22.0,33.0,76.0,3.0,9.0,21.0,142.6866857779901
8910,20.0,61.0,78.0,6.0,3.0,9.0,142.6866857779901
8911,21.0,1.0,71.0,0.0,6.0,3.0,142.6866857779901
8912,22.0,37.0,68.0,1.0,0.0,6.0,142.6866857779901
8913,23.0,47.0,70.0,0.0,1.0,0.0,142.6866857779901
8914,24.0,43.0,70.0,2.0,0.0,1.0,142.6866857779901
8915,25.0,207.0,71.0,0.0,2.0,0.0,142.6866857779901
8916,28.0,109.0,69.0,9.0,2.0,0.0,3.704005291972656
8917,27.0,243.0,74.0,17.0,9.0,2.0,3.704005291972656
8918,28.0,230.0,70.0,29.0,17.0,9.0,3.704005291972656
8919,27.0,148.0,74.0,28.0,29.0,17.0,3.704005291972656
8920,26.0,18.0,70.0,19.0,28.0,29.0,3.704005291972656
8921,22.0,33.0,76.0,12.0,19.0,28.0,3.704005291972656
8922,20.0,61.0,78.0,3.0,12.0,19.0,3.704005291972656
8923,21.0,1.0,71.0,0.0,3.0,12.0,3.704005291972656
8924,22.0,37.0,68.0,0.0,0.0,3.0,3.704005291972656
8925,23.0,47.0,70.0,0.0,0.0,0.0,3.704005291972656
8926,24.0,43.0,70.0,1.0,0.0,0.0,3.704005291972656
8927,25.0,207.0,71.0,1.0,1.0,0.0,3.704005291972656
8928,28.0,109.0,69.0,4.0,0.0,0.0,19.609476184869408
8929,27.0,243.0,74.0,23.0,4.0,0.0,19.609476184869408
8930,28.0,230.0,70.0,13.0,23.0,4.0,19.609476184869408
8931,27.0,148.0,74.0,20.0,13.0,23.0,19.609476184869408
8932,26.0,18.0,70.0,25.0,20.0,13.0,19.609476184869408
8933,22.0,33.0,76.0,8.0,25.0,20.0,19.609476184869408
8934,20.0,61.0,78.0,0.0,8.0,25.0,19.609476184869408
8935,21.0,1.0,71.0,1.0,0.0,8.0,19.609476184869408
8936,22.0,37.0,68.0,0.0,1.0,0.0,19.609476184869408
8937,23.0,47.0,70.0,0.0,0.0,1.0,19.609476184869408
8938,24.0,43.0,70.0,0.0,0.0,0.0,19.609476184869408
8939,25.0,207.0,71.0,0.0,0.0,0.0,19.609476184869408
8940,28.0,109.0,69.0,0.0,0.0,0.0,106.02991233274008
8941,27.0,243.0,74.0,0.0,0.0,0.0,106.02991233274008
8942,28.0,230.0,70.0,0.0,0.0,0.0,106.02991233274008
8943,27.0,148.0,74.0,0.0,0.0,0.0,106.02991233274008
8944,26.0,18.0,70.0,0.0,0.0,0.0,106.02991233274008
8945,22.0,33.0,76.0,0.0,0.0,0.0,106.02991233274008
8946,20.0,61.0,78.0,0.0,0.0,0.0,106.02991233274008
8947,21.0,1.0,71.0,0.0,0.0,0.0,106.02991233274008
8948,22.0,37.0,68.0,0.0,0.0,0.0,106.02991233274008
8949,23.0,47.0,70.0,0.0,0.0,0.0,106.02991233274008
8950,24.0,43.0,70.0,0.0,0.0,0.0,106.02991233274008
8951,25.0,207.0,71.0,0.0,0.0,0.0,106.02991233274008
8952,28.0,109.0,69.0,2.0,1.0,3.0,143.10309662186702
8953,27.0,243.0,74.0,5.0,2.0,1.0,143.10309662186702
8954,28.0,230.0,70.0,8.0,5.0,2.0,143.10309662186702
8955,27.0,148.0,74.0,41.0,8.0,5.0,143.10309662186702
8956,26.0,18.0,70.0,32.0,41.0,8.0,143.10309662186702
8957,22.0,33.0,76.0,6.0,32.0,41.0,143.10309662186702
8958,20.0,61.0,78.0,2.0,6.0,32.0,143.10309662186702
8959,21.0,1.0,71.0,1.0,2.0,6.0,143.10309662186702
8960,22.0,37.0,68.0,1.0,1.0,2.0,143.10309662186702
8961,23.0,47.0,70.0,1.0,1.0,1.0,143.10309662186702
8962,24.0,43.0,70.0,0.0,1.0,1.0,143.10309662186702
8963,25.0,207.0,71.0,0.0,0.0,1.0,143.10309662186702
8964,28.0,109.0,69.0,3.0,2.0,2.0,141.29539685133742
8965,27.0,243.0,74.0,7.0,3.0,2.0,141.29539685133742
8966,28.0,230.0,70.0,11.0,7.0,3.0,141.29539685133742
8967,27.0,148.0,74.0,35.0,11.0,7.0,141.29539685133742
8968,26.0,18.0,70.0,46.0,35.0,11.0,141.29539685133742
8969,22.0,33.0,76.0,10.0,46.0,35.0,141.29539685133742
8970,20.0,61.0,78.0,4.0,10.0,46.0,141.29539685133742
8971,21.0,1.0,71.0,2.0,4.0,10.0,141.29539685133742
8972,22.0,37.0,68.0,2.0,2.0,4.0,141.29539685133742
8973,23.0,47.0,70.0,1.0,2.0,2.0,141.29539685133742
8974,24.0,43.0,70.0,1.0,1.0,2.0,141.29539685133742
8975,25.0,207.0,71.0,2.0,1.0,1.0,141.29539685133742
8976,28.0,109.0,69.0,17.0,3.0,4.0,128.35193335893422
8977,27.0,243.0,74.0,10.0,17.0,3.0,128.35193335893422
8978,28.0,230.0,70.0,10.0,10.0,17.0,128.35193335893422
8979,27.0,148.0,74.0,27.0,10.0,10.0,128.35193335893422
8980,26.0,18.0,70.0,33.0,27.0,10.0,128.35193335893422
8981,22.0,33.0,76.0,22.0,33.0,27.0,128.35193335893422
8982,20.0,61.0,78.0,7.0,22.0,33.0,128.35193335893422
8983,21.0,1.0,71.0,2.0,7.0,22.0,128.35193335893422
8984,22.0,37.0,68.0,4.0,2.0,7.0,128.35193335893422
8985,23.0,47.0,70.0,0.0,4.0,2.0,128.35193335893422
8986,24.0,43.0,70.0,2.0,0.0,4.0,128.35193335893422
8987,25.0,207.0,71.0,4.0,2.0,0.0,128.35193335893422
8988,28.0,109.0,69.0,17.0,6.0,5.0,277.8051723602002
8989,27.0,243.0,74.0,40.0,17.0,6.0,277.8051723602002
8990,28.0,230.0,70.0,35.0,40.0,17.0,277.8051723602002
8991,27.0,148.0,74.0,200.0,35.0,40.0,277.8051723602002
8992,26.0,18.0,70.0,313.0,200.0,35.0,277.8051723602002
8993,22.0,33.0,76.0,53.0,313.0,200.0,277.8051723602002
8994,20.0,61.0,78.0,11.0,53.0,313.0,277.8051723602002
8995,21.0,1.0,71.0,7.0,11.0,53.0,277.8051723602002
8996,22.0,37.0,68.0,4.0,7.0,11.0,277.8051723602002
8997,23.0,47.0,70.0,0.0,4.0,7.0,277.8051723602002
8998,24.0,43.0,70.0,0.0,0.0,4.0,277.8051723602002
8999,25.0,207.0,71.0,2.0,0.0,0.0,277.8051723602002
9000,28.0,109.0,69.0,1.0,1.0,1.0,124.96995984993087
9001,27.0,243.0,74.0,5.0,1.0,1.0,124.96995984993087
9002,28.0,230.0,70.0,18.0,5.0,1.0,124.96995984993087
9003,27.0,148.0,74.0,42.0,18.0,5.0,124.96995984993087
9004,26.0,18.0,70.0,60.0,42.0,18.0,124.96995984993087
9005,22.0,33.0,76.0,24.0,60.0,42.0,124.96995984993087
9006,20.0,61.0,78.0,5.0,24.0,60.0,124.96995984993087
9007,21.0,1.0,71.0,3.0,5.0,24.0,124.96995984993087
9008,22.0,37.0,68.0,0.0,3.0,5.0,124.96995984993087
9009,23.0,47.0,70.0,1.0,0.0,3.0,124.96995984993087
9010,24.0,43.0,70.0,0.0,1.0,0.0,124.96995984993087
9011,25.0,207.0,71.0,3.0,0.0,1.0,124.96995984993087
9012,28.0,109.0,69.0,0.0,0.0,0.0,12.734552418492658
9013,27.0,243.0,74.0,1.0,0.0,0.0,12.734552418492658
9014,28.0,230.0,70.0,0.0,1.0,0.0,12.734552418492658
9015,27.0,148.0,74.0,1.0,0.0,1.0,12.734552418492658
9016,26.0,18.0,70.0,2.0,1.0,0.0,12.734552418492658
9017,22.0,33.0,76.0,6.0,2.0,1.0,12.734552418492658
9018,20.0,61.0,78.0,0.0,6.0,2.0,12.734552418492658
9019,21.0,1.0,71.0,0.0,0.0,6.0,12.734552418492658
9020,22.0,37.0,68.0,0.0,0.0,0.0,12.734552418492658
9021,23.0,47.0,70.0,0.0,0.0,0.0,12.734552418492658
9022,24.0,43.0,70.0,0.0,0.0,0.0,12.734552418492658
9023,25.0,207.0,71.0,0.0,0.0,0.0,12.734552418492658
9024,28.0,109.0,69.0,8.0,6.0,3.0,79.24455602287225
9025,27.0,243.0,74.0,16.0,8.0,6.0,79.24455602287225
9026,28.0,230.0,70.0,18.0,16.0,8.0,79.24455602287225
9027,27.0,148.0,74.0,30.0,18.0,16.0,79.24455602287225
9028,26.0,18.0,70.0,41.0,30.0,18.0,79.24455602287225
9029,22.0,33.0,76.0,9.0,41.0,30.0,79.24455602287225
9030,20.0,61.0,78.0,4.0,9.0,41.0,79.24455602287225
9031,21.0,1.0,71.0,0.0,4.0,9.0,79.24455602287225
9032,22.0,37.0,68.0,0.0,0.0,4.0,79.24455602287225
9033,23.0,47.0,70.0,0.0,0.0,0.0,79.24455602287225
9034,24.0,43.0,70.0,0.0,0.0,0.0,79.24455602287225
9035,25.0,207.0,71.0,2.0,0.0,0.0,79.24455602287225
9036,28.0,109.0,69.0,5.0,2.0,2.0,184.2873511179216
9037,27.0,243.0,74.0,12.0,5.0,2.0,184.2873511179216
9038,28.0,230.0,70.0,13.0,12.0,5.0,184.2873511179216
9039,27.0,148.0,74.0,23.0,13.0,12.0,184.2873511179216
9040,26.0,18.0,70.0,22.0,23.0,13.0,184.2873511179216
9041,22.0,33.0,76.0,14.0,22.0,23.0,184.2873511179216
9042,20.0,61.0,78.0,3.0,14.0,22.0,184.2873511179216
9043,21.0,1.0,71.0,2.0,3.0,14.0,184.2873511179216
9044,22.0,37.0,68.0,0.0,2.0,3.0,184.2873511179216
9045,23.0,47.0,70.0,0.0,0.0,2.0,184.2873511179216
9046,24.0,43.0,70.0,2.0,0.0,0.0,184.2873511179216
9047,25.0,207.0,71.0,1.0,2.0,0.0,184.2873511179216
9048,28.0,109.0,69.0,5.0,8.0,3.0,173.87923136645958
9049,27.0,243.0,74.0,7.0,5.0,8.0,173.87923136645958
9050,28.0,230.0,70.0,19.0,7.0,5.0,173.87923136645958
9051,27.0,148.0,74.0,26.0,19.0,7.0,173.87923136645958
9052,26.0,18.0,70.0,6.0,26.0,19.0,173.87923136645958
9053,22.0,33.0,76.0,3.0,6.0,26.0,173.87923136645958
9054,20.0,61.0,78.0,7.0,3.0,6.0,173.87923136645958
9055,21.0,1.0,71.0,2.0,7.0,3.0,173.87923136645958
9056,22.0,37.0,68.0,1.0,2.0,7.0,173.87923136645958
9057,23.0,47.0,70.0,0.0,1.0,2.0,173.87923136645958
9058,24.0,43.0,70.0,3.0,0.0,1.0,173.87923136645958
9059,25.0,207.0,71.0,1.0,3.0,0.0,173.87923136645958
9060,28.0,109.0,69.0,1.0,1.0,0.0,37.496842799439456
9061,27.0,243.0,74.0,1.0,1.0,1.0,37.496842799439456
9062,28.0,230.0,70.0,3.0,1.0,1.0,37.496842799439456
9063,27.0,148.0,74.0,2.0,3.0,1.0,37.496842799439456
9064,26.0,18.0,70.0,5.0,2.0,3.0,37.496842799439456
9065,22.0,33.0,76.0,3.0,5.0,2.0,37.496842799439456
9066,20.0,61.0,78.0,1.0,3.0,5.0,37.496842799439456
9067,21.0,1.0,71.0,0.0,1.0,3.0,37.496842799439456
9068,22.0,37.0,68.0,0.0,0.0,1.0,37.496842799439456
