nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
Benfica;114.0;2012;4;-4,23897E+23;24.0;25.0;1.0;14.660.916.263.533.700;66.0;47.0;10.0;26.0;161.0;69.0;-4,23897E+18
Benfica;95.0;2012;5;-4,23897E+23;1.0;23.0;0.0;14.660.916.263.533.700;114.0;66.0;47.0;25.0;24.0;74.0;-4,23897E+18
Benfica;40.0;2012;6;-4,23897E+23;1.0;25.0;4.0;14.660.916.263.533.700;95.0;114.0;66.0;23.0;1.0;74.0;-4,23897E+18
Benfica;21.0;2012;7;-4,23897E+23;0.0;22.0;1.0;14.660.916.263.533.700;40.0;95.0;114.0;25.0;1.0;74.0;-4,23897E+18
Benfica;8.0;2012;8;-4,23897E+23;26.0;21.0;11.0;14.660.916.263.533.700;21.0;40.0;95.0;22.0;0.0;73.0;-4,23897E+18
Benfica;5.0;2012;9;-4,23897E+23;95.0;23.0;12.0;14.660.916.263.533.700;8.0;21.0;40.0;21.0;26.0;68.0;-4,23897E+18
Benfica;1.0;2012;10;-4,23897E+24;60.0;25.0;10.0;14.660.916.263.533.700;5.0;8.0;21.0;23.0;95.0;65.0;-4,23897E+18
Benfica;2.0;2012;11;-4,23897E+24;94.0;24.0;47.0;14.660.916.263.533.700;1.0;5.0;8.0;25.0;60.0;64.0;-4,23897E+18
Benfica;8.0;2012;12;-4,23897E+24;80.0;29.0;66.0;14.660.916.263.533.700;2.0;1.0;5.0;24.0;94.0;73.0;-4,23897E+18
Bento Ribeiro;194.0;2012;1;-2,73292E+23;216.0;26.0;50.0;14.603.530.515.504.600;3.0;3.0;2.0;25.0;242.0;70.0;-2,73292E+18
Bento Ribeiro;432.0;2012;2;-2,73292E+23;26.0;28.0;24.0;14.603.530.515.504.600;194.0;3.0;3.0;26.0;216.0;72.0;-2,73292E+18
Bento Ribeiro;421.0;2012;3;-2,73292E+23;161.0;26.0;13.0;14.603.530.515.504.600;432.0;194.0;3.0;28.0;26.0;61.0;-2,73292E+18
Bento Ribeiro;268.0;2012;4;-2,73292E+23;24.0;25.0;4.0;14.603.530.515.504.600;421.0;432.0;194.0;26.0;161.0;69.0;-2,73292E+18
Bento Ribeiro;128.0;2012;5;-2,73292E+23;1.0;23.0;1.0;14.603.530.515.504.600;268.0;421.0;432.0;25.0;24.0;74.0;-2,73292E+18
Bento Ribeiro;44.0;2012;6;-2,73292E+23;1.0;25.0;0.0;14.603.530.515.504.600;128.0;268.0;421.0;23.0;1.0;74.0;-2,73292E+18
Bento Ribeiro;13.0;2012;7;-2,73292E+23;0.0;22.0;2.0;14.603.530.515.504.600;44.0;128.0;268.0;25.0;1.0;74.0;-2,73292E+18
Bento Ribeiro;8.0;2012;8;-2,73292E+23;26.0;21.0;3.0;14.603.530.515.504.600;13.0;44.0;128.0;22.0;0.0;73.0;-2,73292E+18
Bento Ribeiro;7.0;2012;9;-2,73292E+23;95.0;23.0;3.0;14.603.530.515.504.600;8.0;13.0;44.0;21.0;26.0;68.0;-2,73292E+18
Bento Ribeiro;2.0;2012;10;-2,73292E+24;60.0;25.0;194.0;14.603.530.515.504.600;7.0;8.0;13.0;23.0;95.0;65.0;-2,73292E+18
Bento Ribeiro;2.0;2012;11;-2,73292E+24;94.0;24.0;432.0;14.603.530.515.504.600;2.0;7.0;8.0;25.0;60.0;64.0;-2,73292E+18
Bento Ribeiro;3.0;2012;12;-2,73292E+24;80.0;29.0;421.0;14.603.530.515.504.600;2.0;2.0;7.0;24.0;94.0;73.0;-2,73292E+18
Bonsucesso;52.0;2012;1;-6,02375E+23;216.0;26.0;100.0;8.633.752.329.863.160;14.0;8.0;10.0;25.0;242.0;70.0;-6,02375E+18
Bonsucesso;90.0;2012;2;-6,02375E+23;26.0;28.0;69.0;8.633.752.329.863.160;52.0;14.0;8.0;26.0;216.0;72.0;-6,02375E+18
Bonsucesso;167.0;2012;3;-6,02375E+23;161.0;26.0;14.0;8.633.752.329.863.160;90.0;52.0;14.0;28.0;26.0;61.0;-6,02375E+18
Bonsucesso;322.0;2012;4;-6,02375E+23;24.0;25.0;5.0;8.633.752.329.863.160;167.0;90.0;52.0;26.0;161.0;69.0;-6,02375E+18
Bonsucesso;346.0;2012;5;-6,02375E+23;1.0;23.0;4.0;8.633.752.329.863.160;322.0;167.0;90.0;25.0;24.0;74.0;-6,02375E+18
Bonsucesso;166.0;2012;6;-6,02375E+23;1.0;25.0;3.0;8.633.752.329.863.160;346.0;322.0;167.0;23.0;1.0;74.0;-6,02375E+18
