nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
AndaraÃ­;20.0;2012;7;-270660772668335440720127;0.0;22.0;0.0;176.69249988944412;49.0;126.0;95.0;25.0;1.0;74.0;-2706607726683354407
AndaraÃ­;12.0;2012;8;-270660772668335440720128;26.0;21.0;0.0;176.69249988944412;20.0;49.0;126.0;22.0;0.0;73.0;-2706607726683354407
AndaraÃ­;9.0;2012;9;-270660772668335440720129;95.0;23.0;0.0;176.69249988944412;12.0;20.0;49.0;21.0;26.0;68.0;-2706607726683354407
AndaraÃ­;7.0;2012;10;-2706607726683354407201210;60.0;25.0;22.0;176.69249988944412;9.0;12.0;20.0;23.0;95.0;65.0;-2706607726683354407
AndaraÃ­;7.0;2012;11;-2706607726683354407201211;94.0;24.0;22.0;176.69249988944412;7.0;9.0;12.0;25.0;60.0;64.0;-2706607726683354407
AndaraÃ­;21.0;2012;12;-2706607726683354407201212;80.0;29.0;52.0;176.69249988944412;7.0;7.0;9.0;24.0;94.0;73.0;-2706607726683354407
Anil;22.0;2012;1;-692229149732371226120121;216.0;26.0;159.0;70.09078962404296;22.0;14.0;7.0;25.0;242.0;70.0;-6922291497323712261
Anil;26.0;2012;2;-692229149732371226120122;26.0;28.0;125.0;70.09078962404296;22.0;22.0;14.0;26.0;216.0;72.0;-6922291497323712261
Anil;82.0;2012;3;-692229149732371226120123;161.0;26.0;35.0;70.09078962404296;26.0;22.0;22.0;28.0;26.0;61.0;-6922291497323712261
Anil;103.0;2012;4;-692229149732371226120124;24.0;25.0;9.0;70.09078962404296;82.0;26.0;22.0;26.0;161.0;69.0;-6922291497323712261
Anil;53.0;2012;5;-692229149732371226120125;1.0;23.0;4.0;70.09078962404296;103.0;82.0;26.0;25.0;24.0;74.0;-6922291497323712261
Anil;29.0;2012;6;-692229149732371226120126;1.0;25.0;2.0;70.09078962404296;53.0;103.0;82.0;23.0;1.0;74.0;-6922291497323712261
Anil;3.0;2012;7;-692229149732371226120127;0.0;22.0;7.0;70.09078962404296;29.0;53.0;103.0;25.0;1.0;74.0;-6922291497323712261
Anil;0.0;2012;8;-692229149732371226120128;26.0;21.0;14.0;70.09078962404296;3.0;29.0;53.0;22.0;0.0;73.0;-6922291497323712261
Anil;1.0;2012;9;-692229149732371226120129;95.0;23.0;22.0;70.09078962404296;0.0;3.0;29.0;21.0;26.0;68.0;-6922291497323712261
Anil;1.0;2012;10;-6922291497323712261201210;60.0;25.0;22.0;70.09078962404296;1.0;0.0;3.0;23.0;95.0;65.0;-6922291497323712261
Anil;2.0;2012;11;-6922291497323712261201211;94.0;24.0;26.0;70.09078962404296;1.0;1.0;0.0;25.0;60.0;64.0;-6922291497323712261
Anil;6.0;2012;12;-6922291497323712261201212;80.0;29.0;82.0;70.09078962404296;2.0;1.0;1.0;24.0;94.0;73.0;-6922291497323712261
Bangu;336.0;2012;1;-705105686385009766120121;216.0;26.0;1175.0;68.61216225233692;208.0;33.0;36.0;25.0;242.0;70.0;-7051056863850097661
Bangu;1058.0;2012;2;-705105686385009766120122;26.0;28.0;682.0;68.61216225233692;336.0;208.0;33.0;26.0;216.0;72.0;-7051056863850097661
Bangu;2887.0;2012;3;-705105686385009766120123;161.0;26.0;161.0;68.61216225233692;1058.0;336.0;208.0;28.0;26.0;61.0;-7051056863850097661
Bangu;4371.0;2012;4;-705105686385009766120124;24.0;25.0;19.0;68.61216225233692;2887.0;1058.0;336.0;26.0;161.0;69.0;-7051056863850097661
Bangu;2081.0;2012;5;-705105686385009766120125;1.0;23.0;9.0;68.61216225233692;4371.0;2887.0;1058.0;25.0;24.0;74.0;-7051056863850097661
Bangu;700.0;2012;6;-705105686385009766120126;1.0;25.0;15.0;68.61216225233692;2081.0;4371.0;2887.0;23.0;1.0;74.0;-7051056863850097661
Bangu;147.0;2012;7;-705105686385009766120127;0.0;22.0;36.0;68.61216225233692;700.0;2081.0;4371.0;25.0;1.0;74.0;-7051056863850097661
Bangu;75.0;2012;8;-705105686385009766120128;26.0;21.0;33.0;68.61216225233692;147.0;700.0;2081.0;22.0;0.0;73.0;-7051056863850097661
Bangu;43.0;2012;9;-705105686385009766120129;95.0;23.0;208.0;68.61216225233692;75.0;147.0;700.0;21.0;26.0;68.0;-7051056863850097661
Bangu;48.0;2012;10;-7051056863850097661201210;60.0;25.0;336.0;68.61216225233692;43.0;75.0;147.0;23.0;95.0;65.0;-7051056863850097661
Bangu;49.0;2012;11;-7051056863850097661201211;94.0;24.0;1058.0;68.61216225233692;48.0;43.0;75.0;25.0;60.0;64.0;-7051056863850097661
Bangu;67.0;2012;12;-7051056863850097661201212;80.0;29.0;2887.0;68.61216225233692;49.0;48.0;43.0;24.0;94.0;73.0;-7051056863850097661
Barros Filho;12.0;2012;1;-912490292187387680720121;216.0;26.0;110.0;82.71787806717326;22.0;11.0;8.0;25.0;242.0;70.0;-9124902921873876807
Barros Filho;21.0;2012;2;-912490292187387680720122;26.0;28.0;40.0;82.71787806717326;12.0;22.0;11.0;26.0;216.0;72.0;-9124902921873876807
Barros Filho;30.0;2012;3;-912490292187387680720123;161.0;26.0;15.0;82.71787806717326;21.0;12.0;22.0;28.0;26.0;61.0;-9124902921873876807
Barros Filho;65.0;2012;4;-912490292187387680720124;24.0;25.0;9.0;82.71787806717326;30.0;21.0;12.0;26.0;161.0;69.0;-9124902921873876807
Barros Filho;54.0;2012;5;-912490292187387680720125;1.0;23.0;5.0;82.71787806717326;65.0;30.0;21.0;25.0;24.0;74.0;-9124902921873876807
Barros Filho;21.0;2012;6;-912490292187387680720126;1.0;25.0;8.0;82.71787806717326;54.0;65.0;30.0;23.0;1.0;74.0;-9124902921873876807
Barros Filho;4.0;2012;7;-912490292187387680720127;0.0;22.0;8.0;82.71787806717326;21.0;54.0;65.0;25.0;1.0;74.0;-9124902921873876807
Barros Filho;3.0;2012;8;-912490292187387680720128;26.0;21.0;11.0;82.71787806717326;4.0;21.0;54.0;22.0;0.0;73.0;-9124902921873876807
Barros Filho;0.0;2012;9;-912490292187387680720129;95.0;23.0;22.0;82.71787806717326;3.0;4.0;21.0;21.0;26.0;68.0;-9124902921873876807
Barros Filho;1.0;2012;10;-9124902921873876807201210;60.0;25.0;12.0;82.71787806717326;0.0;3.0;4.0;23.0;95.0;65.0;-9124902921873876807
Barros Filho;0.0;2012;11;-9124902921873876807201211;94.0;24.0;21.0;82.71787806717326;1.0;0.0;3.0;25.0;60.0;64.0;-9124902921873876807
Barros Filho;0.0;2012;12;-9124902921873876807201212;80.0;29.0;30.0;82.71787806717326;0.0;1.0;0.0;24.0;94.0;73.0;-9124902921873876807
Benfica;10.0;2012;1;-423896934606313724120121;216.0;26.0;68.0;146.60916263533747;12.0;11.0;1.0;25.0;242.0;70.0;-4238969346063137241
Benfica;47.0;2012;2;-423896934606313724120122;26.0;28.0;23.0;146.60916263533747;10.0;12.0;11.0;26.0;216.0;72.0;-4238969346063137241
Benfica;66.0;2012;3;-423896934606313724120123;161.0;26.0;5.0;146.60916263533747;47.0;10.0;12.0;28.0;26.0;61.0;-4238969346063137241
Benfica;114.0;2012;4;-423896934606313724120124;24.0;25.0;1.0;146.60916263533747;66.0;47.0;10.0;26.0;161.0;69.0;-4238969346063137241
Benfica;95.0;2012;5;-423896934606313724120125;1.0;23.0;0.0;146.60916263533747;114.0;66.0;47.0;25.0;24.0;74.0;-4238969346063137241
Benfica;40.0;2012;6;-423896934606313724120126;1.0;25.0;4.0;146.60916263533747;95.0;114.0;66.0;23.0;1.0;74.0;-4238969346063137241
Benfica;21.0;2012;7;-423896934606313724120127;0.0;22.0;1.0;146.60916263533747;40.0;95.0;114.0;25.0;1.0;74.0;-4238969346063137241
Benfica;8.0;2012;8;-423896934606313724120128;26.0;21.0;11.0;146.60916263533747;21.0;40.0;95.0;22.0;0.0;73.0;-4238969346063137241
Benfica;5.0;2012;9;-423896934606313724120129;95.0;23.0;12.0;146.60916263533747;8.0;21.0;40.0;21.0;26.0;68.0;-4238969346063137241
Benfica;1.0;2012;10;-4238969346063137241201210;60.0;25.0;10.0;146.60916263533747;5.0;8.0;21.0;23.0;95.0;65.0;-4238969346063137241
Benfica;2.0;2012;11;-4238969346063137241201211;94.0;24.0;47.0;146.60916263533747;1.0;5.0;8.0;25.0;60.0;64.0;-4238969346063137241
Benfica;8.0;2012;12;-4238969346063137241201212;80.0;29.0;66.0;146.60916263533747;2.0;1.0;5.0;24.0;94.0;73.0;-4238969346063137241
Bento Ribeiro;194.0;2012;1;-273291631674970495920121;216.0;26.0;50.0;146.03530515504642;3.0;3.0;2.0;25.0;242.0;70.0;-2732916316749704959
Bento Ribeiro;432.0;2012;2;-273291631674970495920122;26.0;28.0;24.0;146.03530515504642;194.0;3.0;3.0;26.0;216.0;72.0;-2732916316749704959
Bento Ribeiro;421.0;2012;3;-273291631674970495920123;161.0;26.0;13.0;146.03530515504642;432.0;194.0;3.0;28.0;26.0;61.0;-2732916316749704959
Bento Ribeiro;268.0;2012;4;-273291631674970495920124;24.0;25.0;4.0;146.03530515504642;421.0;432.0;194.0;26.0;161.0;69.0;-2732916316749704959
Bento Ribeiro;128.0;2012;5;-273291631674970495920125;1.0;23.0;1.0;146.03530515504642;268.0;421.0;432.0;25.0;24.0;74.0;-2732916316749704959
Bento Ribeiro;44.0;2012;6;-273291631674970495920126;1.0;25.0;0.0;146.03530515504642;128.0;268.0;421.0;23.0;1.0;74.0;-2732916316749704959
Bento Ribeiro;13.0;2012;7;-273291631674970495920127;0.0;22.0;2.0;146.03530515504642;44.0;128.0;268.0;25.0;1.0;74.0;-2732916316749704959
Bento Ribeiro;8.0;2012;8;-273291631674970495920128;26.0;21.0;3.0;146.03530515504642;13.0;44.0;128.0;22.0;0.0;73.0;-2732916316749704959
Bento Ribeiro;7.0;2012;9;-273291631674970495920129;95.0;23.0;3.0;146.03530515504642;8.0;13.0;44.0;21.0;26.0;68.0;-2732916316749704959
